date,open,high,low,close,volume
2026-06-08,78000.0,78400.0,76400.0,76600.0,7310486
2026-06-09,76600.0,77300.0,76300.0,76800.0,9462506
2026-06-10,76800.0,78800.0,76200.0,78600.0,9769591
2026-06-11,78600.0,78600.0,75400.0,76400.0,9289702
2026-06-12,76400.0,78800.0,76000.0,78600.0,5775051
2026-06-15,78600.0,78700.0,77900.0,78700.0,8022633
2026-06-16,78700.0,81600.0,78600.0,80500.0,6663317
2026-06-17,80500.0,84100.0,80100.0,82900.0,3599295
2026-06-18,82900.0,83300.0,81900.0,82600.0,8650435
2026-06-19,82600.0,83600.0,80800.0,81400.0,4895654
2026-06-22,81400.0,83000.0,80700.0,82700.0,4436037
2026-06-23,82700.0,83700.0,80900.0,81100.0,10239209
2026-06-24,81100.0,81300.0,80400.0,80500.0,3225887
2026-06-25,80500.0,81900.0,79800.0,81400.0,10157633
2026-06-26,81400.0,81800.0,79800.0,80100.0,7627761
2026-06-29,80100.0,82000.0,79900.0,81000.0,3471071
2026-06-30,81000.0,81900.0,79600.0,80300.0,6783064
2026-07-01,80300.0,82000.0,79600.0,81500.0,8172869
2026-07-02,81500.0,82000.0,80800.0,81400.0,7986753
2026-07-03,81400.0,81800.0,80800.0,81700.0,8184987
2026-07-06,81700.0,83800.0,80500.0,82600.0,4570878
2026-07-07,82600.0,85200.0,82500.0,84200.0,7340393
2026-07-08,84200.0,84900.0,83500.0,84400.0,6128679
2026-07-09,84400.0,85200.0,82000.0,82200.0,3393263
2026-07-10,82200.0,83900.0,81300.0,83400.0,10034379
2026-07-13,83400.0,84400.0,83000.0,84100.0,10297428
2026-07-14,84100.0,85800.0,84000.0,85600.0,11405103
2026-07-15,85600.0,88000.0,84300.0,86700.0,10933339
2026-07-16,86700.0,87300.0,86200.0,86700.0,3523101
2026-07-17,86700.0,87800.0,83700.0,84400.0,11857987
